Uniq Id,Product Name,Brand Name,Asin,Category,Upc Ean Code,List Price,Selling Price,Quantity,Model Number,About Product,Product Specification,Technical Details,Shipping Weight,Product Dimensions,Image,Variants,Sku,Product Url,Stock,Product Details,Dimensions,Color,Ingredients,Direction To Use,Is Amazon Seller,Size Quantity Variant,Product Description,Rating,Review Snippets
74d9f6149b125affab1f3b8d14798b0b,"Steel-Safe Eco Stainless Steel Cleaner & Polish, 16 oz",GreenGleam,B0SAMPLE000,Health & Household | Household Supplies | Cleaning & Household | Metal Cleaners,,$ 15.99,$ 12.49,,GRE-000,"Make sure this fits by entering your model number. | Plant-based, biodegradable formula safe for kitchen appliances | Removes fingerprints, smudges, and water marks from stainless steel | Streak-free shine with a light lavender scent | Cruelty-free and phosphate-free",Material focus: stainless steel,,1.3 pounds,,https://images.example.com/B0SAMPLE000.jpg,,SKU-GREE-000,https://www.amazon.com/dp/B0SAMPLE000,Only 3 left in stock,,,,"Water, Caprylyl/Capryl Glucoside (plant-based surfactant), Citric Acid, Sodium Citrate, Coconut-derived cleansers, Lavender essential oil","Spray, wipe with a microfiber cloth, buff dry.",Y,16 Fl Oz,"Eco-friendly stainless steel cleaner. Plant-based, biodegradable formula safe for kitchen appliances Removes fingerprints, smudges, and water marks from stainless steel",4.6,"Best stainless cleaner I've used, no streaks || Smells great and cuts fingerprints instantly || Eco-friendly and actually works on my fridge"
c290f2c3fcf0554d94d625b7a77820d9,"Brushed Metal Miracle Stainless Cleaner Spray, 12 oz",PureHome,B0SAMPLE001,Health & Household | Household Supplies | Cleaning & Household | Metal Cleaners,,$ 13.49,$ 9.99,,PUR-001,Make sure this fits by entering your model number. | Eco-friendly stainless steel spray for appliances and sinks | Leaves a protective anti-smudge layer | No harsh ammonia or bleach | USDA BioPreferred formula,Material focus: stainless steel,,1.1 pounds,,https://images.example.com/B0SAMPLE001.jpg,,SKU-PURE-001,https://www.amazon.com/dp/B0SAMPLE001,In Stock,,,,"Water, Decyl Glucoside, Sodium Gluconate, Citric Acid, Plant-derived alcohol, Fragrance (natural)","Spray, wipe with a microfiber cloth, buff dry.",Y,12 Fl Oz,Eco-friendly stainless steel cleaner. Eco-friendly stainless steel spray for appliances and sinks Leaves a protective anti-smudge layer,4.4,Great value under $10 || Works but needs a second pass on heavy grime || Love that it's non-toxic around my kids
79270c8c173d555181a8e845b143d93c,"ProShine Stainless Steel Polish, Aerosol, 15 oz",ShineMaster,B0SAMPLE002,Health & Household | Household Supplies | Cleaning & Household | Metal Cleaners,,$ 18.99,$ 16.75,,SHI-002,Make sure this fits by entering your model number. | Professional-grade oil-based polish for a deep shine | Long-lasting fingerprint resistance | For commercial and home appliances,Material focus: stainless steel,,1.2 pounds,,https://images.example.com/B0SAMPLE002.jpg,,SKU-SHIN-002,https://www.amazon.com/dp/B0SAMPLE002,In Stock,,,,"Mineral oil, Aliphatic hydrocarbons, Silicone emulsion, Propellant","Spray, wipe with a microfiber cloth, buff dry.",Y,15 Fl Oz,stainless steel cleaner. Professional-grade oil-based polish for a deep shine Long-lasting fingerprint resistance,4.7,Restaurant-quality shine || A little greasy if you use too much || Best for heavy-duty commercial kitchens
3c261fc9479a5d98b0b819e4c501af05,"EcoBright Stainless & Chrome Cleaner Wipes, 30 ct",GreenGleam,B0SAMPLE003,Health & Household | Household Supplies | Cleaning & Household | Metal Cleaners,,$ 11.99,$ 8.49,,GRE-003,"Make sure this fits by entering your model number. | Compostable wipes made from bamboo fiber | Grab-and-go stainless steel cleaning | Streak-free, plant-based formula | Great for quick appliance touch-ups",Material focus: stainless steel,,0.8 pounds,,https://images.example.com/B0SAMPLE003.jpg,,SKU-GREE-003,https://www.amazon.com/dp/B0SAMPLE003,In Stock,,,,"Water, Coco-Glucoside, Citric Acid, Bamboo fiber cloth, Plant-based preservative","Spray, wipe with a microfiber cloth, buff dry.",Y,30 ct,Eco-friendly stainless steel cleaner. Compostable wipes made from bamboo fiber Grab-and-go stainless steel cleaning,4.3,Convenient and eco-friendly || Wipes dry out if you don't seal the lid || Perfect size for my stainless fridge
5897fa50458353b29524e36359606e00,"Sparkle Naturals Glass & Window Cleaner, 26 oz",Sparkle Naturals,B0SAMPLE004,Health & Household | Household Supplies | Cleaning & Household | Glass Cleaners,,$ 9.99,$ 6.99,,SPA-004,"Make sure this fits by entering your model number. | Ammonia-free streak-free glass cleaner | Plant-based and biodegradable | Safe for mirrors, windows, and glass cooktops",Material focus: glass,,1.9 pounds,,https://images.example.com/B0SAMPLE004.jpg,,SKU-SPAR-004,https://www.amazon.com/dp/B0SAMPLE004,In Stock,,,,"Water, Ethanol (plant-derived), Vinegar, Coco-Glucoside, Essential oil blend","Spray, wipe with a microfiber cloth, buff dry.",Y,26 Fl Oz,Eco-friendly glass cleaner. Ammonia-free streak-free glass cleaner Plant-based and biodegradable,4.5,Streak free on windows || Vinegar smell fades fast || Cheaper and greener than the blue stuff
81d9e4972e0f56cba9ced36f3875ad65,"CitrusForce All-Purpose Cleaner Concentrate, 32 oz",CitrusForce,B0SAMPLE005,Health & Household | Household Supplies | Cleaning & Household | All-Purpose Cleaners,,$ 14.99,$ 11.25,,CIT-005,Make sure this fits by entering your model number. | Makes up to 4 gallons when diluted | Plant-based degreaser for counters and floors | Biodegradable and septic-safe | Fresh orange scent,Material focus: multi-surface,,2.3 pounds,,https://images.example.com/B0SAMPLE005.jpg,,SKU-CITR-005,https://www.amazon.com/dp/B0SAMPLE005,In Stock,,,,"Water, Citrus terpenes, Sodium coco-sulfate, Citric acid, Orange essential oil","Spray, wipe with a microfiber cloth, buff dry.",Y,32 Fl Oz,Eco-friendly multi-surface cleaner. Makes up to 4 gallons when diluted Plant-based degreaser for counters and floors,4.6,A little goes a long way || Great degreaser for the stovetop || Concentrate saves money and plastic
94461c71456f50aca5a1b4c830da4596,"PowerClean Heavy-Duty Degreaser Spray, 24 oz",PowerClean,B0SAMPLE006,Health & Household | Household Supplies | Cleaning & Household | All-Purpose Cleaners,,$ 12.99,$ 10.49,,POW-006,Make sure this fits by entering your model number. | Industrial-strength degreaser for kitchens and garages | Cuts baked-on grease fast | Not for use on aluminum,Material focus: multi-surface,,1.8 pounds,,https://images.example.com/B0SAMPLE006.jpg,,SKU-POWE-006,https://www.amazon.com/dp/B0SAMPLE006,In Stock,,,,"Water, 2-Butoxyethanol, Sodium hydroxide, Nonionic surfactants, Fragrance","Spray, wipe with a microfiber cloth, buff dry.",Y,24 Fl Oz,multi-surface cleaner. Industrial-strength degreaser for kitchens and garages Cuts baked-on grease fast,4.2,"Powerful on oven grease || Strong smell, use gloves || Works when nothing else will"
3e1fecbc4d4d59e7a907f31debc3deb8,"Gentle Suds Plant-Based Dish Soap, 18 oz",Gentle Suds,B0SAMPLE007,Health & Household | Household Supplies | Cleaning & Household | Dish Soap,,$ 7.49,$ 5.49,,GEN-007,"Make sure this fits by entering your model number. | Ultra-concentrated plant-based dish soap | Tough on grease, gentle on hands | Free of dyes, parabens, and phosphates | Aloe-infused",Material focus: dishware,,1.4 pounds,,https://images.example.com/B0SAMPLE007.jpg,,SKU-GENT-007,https://www.amazon.com/dp/B0SAMPLE007,Only 3 left in stock,,,,"Water, Sodium lauroyl sarcosinate, Lauryl glucoside, Aloe, Sea salt, Fragrance (natural)","Spray, wipe with a microfiber cloth, buff dry.",Y,18 Fl Oz,"Eco-friendly dishware cleaner. Ultra-concentrated plant-based dish soap Tough on grease, gentle on hands",4.7,Cuts grease and doesn't dry my hands || Nice light scent || Small bottle but very concentrated
60b7b4b3e6c050afa7a3926dc4185392,"Bubble Rush Antibacterial Dish Liquid, 28 oz",Bubble Rush,B0SAMPLE008,Health & Household | Household Supplies | Cleaning & Household | Dish Soap,,$ 6.99,$ 4.99,,BUB-008,Make sure this fits by entering your model number. | Long-lasting suds for tough loads | Antibacterial hand-wash formula | Fresh spring scent,Material focus: dishware,,2.0 pounds,,https://images.example.com/B0SAMPLE008.jpg,,SKU-BUBB-008,https://www.amazon.com/dp/B0SAMPLE008,In Stock,,,,"Water, Sodium laureth sulfate, Lauramine oxide, Fragrance, Benzisothiazolinone, Blue 1","Spray, wipe with a microfiber cloth, buff dry.",Y,28 oz,dishware cleaner. Long-lasting suds for tough loads Antibacterial hand-wash formula,4.1,"Lots of bubbles || Contains dyes, wish it didn't || Cheap and does the job"
6fa95ffabe065c7c818290c50875f76b,"FreshBath Eco Bathroom & Tile Cleaner, 24 oz",FreshBath,B0SAMPLE009,Health & Household | Household Supplies | Cleaning & Household | Bathroom Cleaners,,$ 10.99,$ 8.99,,FRE-009,"Make sure this fits by entering your model number. | Plant-based bathroom cleaner for tile, tubs, and sinks | Dissolves soap scum and hard-water stains | Bleach-free and biodegradable | Eucalyptus-mint scent",Material focus: tile and porcelain,,1.8 pounds,,https://images.example.com/B0SAMPLE009.jpg,,SKU-FRES-009,https://www.amazon.com/dp/B0SAMPLE009,In Stock,,,,"Water, Lactic acid, Caprylyl glucoside, Citric acid, Eucalyptus oil","Spray, wipe with a microfiber cloth, buff dry.",Y,24 Fl Oz,"Eco-friendly tile and porcelain cleaner. Plant-based bathroom cleaner for tile, tubs, and sinks Dissolves soap scum and hard-water stains",4.4,Soap scum gone without bleach fumes || Needs a minute of dwell time || Smells like a spa
